pqn1, pqn2,l1,                 l2, E1, E2, delta E in R*Z m^-1,delta E in electron volts,delta E in Hz,is backwards?,degeneracy
100, 100,3,                 4, 1.000202E-04, 1.000000E-04, 2.020306E-08,2.748766E-07,6.646488E+07,0,63
99, 99,3,                 4, 1.020512E-04, 1.020304E-04, 2.082151E-08,2.832911E-07,6.849948E+07,0,63
98, 98,3,                 4, 1.041447E-04, 1.041233E-04, 2.146546E-08,2.920525E-07,7.061799E+07,0,63
97, 97,3,                 4, 1.063034E-04, 1.062812E-04, 2.213625E-08,3.011790E-07,7.282476E+07,0,63
96, 96,3,                 4, 1.085298E-04, 1.085069E-04, 2.283527E-08,3.106897E-07,7.512444E+07,0,63
95, 95,3,                 4, 1.108269E-04, 1.108033E-04, 2.356404E-08,3.206051E-07,7.752198E+07,0,63
94, 94,3,                 4, 1.131977E-04, 1.131734E-04, 2.432416E-08,3.309470E-07,8.002263E+07,0,63
93, 93,3,                 4, 1.156454E-04, 1.156203E-04, 2.511732E-08,3.417385E-07,8.263201E+07,0,63
92, 92,3,                 4, 1.181734E-04, 1.181474E-04, 2.594534E-08,3.530044E-07,8.535608E+07,0,63
91, 91,3,                 4, 1.207852E-04, 1.207584E-04, 2.681017E-08,3.647709E-07,8.820121E+07,0,63
90, 90,3,                 4, 1.234845E-04, 1.234568E-04, 2.771386E-08,3.770662E-07,9.117421E+07,0,63
89, 89,3,                 4, 1.262753E-04, 1.262467E-04, 2.865862E-08,3.899204E-07,9.428233E+07,0,63
88, 88,3,                 4, 1.291619E-04, 1.291322E-04, 2.964682E-08,4.033655E-07,9.753335E+07,0,63
87, 87,3,                 4, 1.321485E-04, 1.321178E-04, 3.068098E-08,4.174360E-07,1.009356E+08,0,63
86, 86,3,                 4, 1.352400E-04, 1.352082E-04, 3.176381E-08,4.321686E-07,1.044979E+08,0,63
85, 85,3,                 4, 1.384412E-04, 1.384083E-04, 3.289819E-08,4.476027E-07,1.082298E+08,0,63
84, 84,3,                 4, 1.417574E-04, 1.417234E-04, 3.408724E-08,4.637805E-07,1.121416E+08,0,63
83, 83,3,                 4, 1.451943E-04, 1.451589E-04, 3.533429E-08,4.807475E-07,1.162442E+08,0,63
82, 82,3,                 4, 1.487576E-04, 1.487210E-04, 3.664292E-08,4.985523E-07,1.205494E+08,0,63
81, 81,3,                 4, 1.524538E-04, 1.524158E-04, 3.801697E-08,5.172473E-07,1.250698E+08,0,63
80, 80,3,                 4, 1.562895E-04, 1.562500E-04, 3.946060E-08,5.368888E-07,1.298191E+08,0,63
79, 79,3,                 4, 1.602717E-04, 1.602307E-04, 4.097825E-08,5.575374E-07,1.348120E+08,0,63
78, 78,3,                 4, 1.644081E-04, 1.643655E-04, 4.257473E-08,5.792587E-07,1.400641E+08,0,63
77, 77,3,                 4, 1.687068E-04, 1.686625E-04, 4.425523E-08,6.021231E-07,1.455927E+08,0,63
76, 76,3,                 4, 1.731762E-04, 1.731302E-04, 4.602536E-08,6.262069E-07,1.514162E+08,0,63
75, 75,3,                 4, 1.778257E-04, 1.777778E-04, 4.789116E-08,6.515923E-07,1.575543E+08,0,63
74, 74,3,                 4, 1.826649E-04, 1.826150E-04, 4.985918E-08,6.783687E-07,1.640288E+08,0,63
73, 73,3,                 4, 1.877044E-04, 1.876525E-04, 5.193653E-08,7.066325E-07,1.708630E+08,0,63
72, 72,3,                 4, 1.929554E-04, 1.929012E-04, 5.413090E-08,7.364884E-07,1.780821E+08,0,63
71, 71,3,                 4, 1.984298E-04, 1.983733E-04, 5.645066E-08,7.680503E-07,1.857137E+08,0,63
70, 70,3,                 4, 2.041405E-04, 2.040816E-04, 5.890488E-08,8.014416E-07,1.937877E+08,0,63
69, 69,3,                 4, 2.101014E-04, 2.100399E-04, 6.150345E-08,8.367970E-07,2.023366E+08,0,63
68, 68,3,                 4, 2.163272E-04, 2.162630E-04, 6.425714E-08,8.742629E-07,2.113958E+08,0,63
67, 67,3,                 4, 2.228339E-04, 2.227668E-04, 6.717771E-08,9.139992E-07,2.210040E+08,0,63
66, 66,3,                 4, 2.296387E-04, 2.295684E-04, 7.027798E-08,9.561806E-07,2.312034E+08,0,63
65, 65,3,                 4, 2.367600E-04, 2.366864E-04, 7.357200E-08,1.000998E-06,2.420402E+08,0,63
64, 64,3,                 4, 2.442177E-04, 2.441406E-04, 7.707513E-08,1.048661E-06,2.535650E+08,0,63
63, 63,3,                 4, 2.520334E-04, 2.519526E-04, 8.080424E-08,1.099398E-06,2.658332E+08,0,63
62, 62,3,                 4, 2.602305E-04, 2.601457E-04, 8.477786E-08,1.153461E-06,2.789058E+08,0,63
61, 61,3,                 4, 2.688340E-04, 2.687450E-04, 8.901634E-08,1.211129E-06,2.928497E+08,0,63
60, 60,3,                 4, 2.778713E-04, 2.777778E-04, 9.354214E-08,1.272706E-06,3.077388E+08,0,63
59, 59,3,                 4, 2.873722E-04, 2.872738E-04, 9.838001E-08,1.338528E-06,3.236547E+08,0,63
58, 58,3,                 4, 2.973687E-04, 2.972652E-04, 1.035573E-07,1.408969E-06,3.406872E+08,0,63
57, 57,3,                 4, 3.078961E-04, 3.077870E-04, 1.091044E-07,1.484441E-06,3.589362E+08,0,63
56, 56,3,                 4, 3.189926E-04, 3.188776E-04, 1.150548E-07,1.565400E-06,3.785122E+08,0,63
100, 100,2,                 3, 9.990007E-05, 1.000202E-04, 1.201281E-07,1.634426E-06,3.952025E+08,1,35
55, 55,3,                 4, 3.307000E-04, 3.305785E-04, 1.214459E-07,1.652356E-06,3.995379E+08,0,63
99, 99,2,                 3, 1.019274E-04, 1.020512E-04, 1.238045E-07,1.684446E-06,4.072972E+08,1,35
98, 98,2,                 3, 1.040171E-04, 1.041447E-04, 1.276325E-07,1.736528E-06,4.198906E+08,1,35
54, 54,3,                 4, 3.430638E-04, 3.429355E-04, 1.283193E-07,1.745873E-06,4.221502E+08,0,63
97, 97,2,                 3, 1.061717E-04, 1.063034E-04, 1.316199E-07,1.790779E-06,4.330085E+08,1,35
53, 53,3,                 4, 3.561343E-04, 3.559986E-04, 1.357213E-07,1.846582E-06,4.465015E+08,0,63
96, 96,2,                 3, 1.083940E-04, 1.085298E-04, 1.357751E-07,1.847314E-06,4.466786E+08,1,35
95, 95,2,                 3, 1.106868E-04, 1.108269E-04, 1.401071E-07,1.906254E-06,4.609302E+08,1,35
52, 52,3,                 4, 3.699662E-04, 3.698225E-04, 1.437037E-07,1.955188E-06,4.727624E+08,0,63
94, 94,2,                 3, 1.130531E-04, 1.131977E-04, 1.446254E-07,1.967728E-06,4.757946E+08,1,35
93, 93,2,                 3, 1.154961E-04, 1.156454E-04, 1.493400E-07,2.031875E-06,4.913051E+08,1,35
51, 51,3,                 4, 3.846198E-04, 3.844675E-04, 1.523245E-07,2.072481E-06,5.011237E+08,0,63
92, 92,2,                 3, 1.180191E-04, 1.181734E-04, 1.542619E-07,2.098840E-06,5.074972E+08,1,35
91, 91,2,                 3, 1.206258E-04, 1.207852E-04, 1.594024E-07,2.168780E-06,5.244086E+08,1,35
50, 50,3,                 4, 4.001616E-04, 4.000000E-04, 1.616490E-07,2.199346E-06,5.317996E+08,0,63
90, 90,2,                 3, 1.233197E-04, 1.234845E-04, 1.647738E-07,2.241862E-06,5.420799E+08,1,35
89, 89,2,                 3, 1.261050E-04, 1.262753E-04, 1.703894E-07,2.318266E-06,5.605541E+08,1,35
49, 49,3,                 4, 4.166649E-04, 4.164931E-04, 1.717503E-07,2.336781E-06,5.650312E+08,0,63
88, 88,2,                 3, 1.289856E-04, 1.291619E-04, 1.762630E-07,2.398181E-06,5.798775E+08,1,35
